insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 342, 69980);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 94, 60463);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 218, 135447);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 21, 23915);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 489, 52790);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 118, 66584);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 26, 100002);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 42, 20722);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 137, 147232);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 267, 117826);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 161, 8575);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 58, 149911);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 56, 113614);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 74, 42484);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 105, 75804);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 139, 196);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 199, 111372);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 36, 146865);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 253, 51544);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 208, 79110);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 78, 128561);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 100, 142604);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 320, 80271);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 76, 94689);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 459, 140043);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 29, 35220);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 224, 53207);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 213, 76841);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 321, 88002);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 252, 130691);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 388, 28240);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 422, 91162);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 123, 30819);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 48, 126719);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 332, 52279);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 247, 14491);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 16, 71047);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 205, 108973);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 360, 20990);
