insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (21, 375, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (490, 327, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (682, 62, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (493, 183, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (419, 223, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (555, 480, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (288, 254, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (496, 328, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (54, 199, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (362, 374, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (765, 402, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (651, 106, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (113, 485, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (640, 188, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (468, 501, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (736, 428, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (591, 267, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (622, 360, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (274, 375, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (644, 138, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (797, 491, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (135, 139, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (49, 207, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (315, 472, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (351, 402, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (538, 132, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (546, 347, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (524, 10, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (769, 93, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (341, 421, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (231, 395, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (565, 158, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (494, 441, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (265, 82, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (92, 301, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (651, 181, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (407, 293, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (189, 446, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (712, 157, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (122, 222, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (315, 169, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (222, 5, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (411, 387, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (158, 131, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (692, 323, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (523, 250, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (774, 452, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (617, 367, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (323, 151, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (770, 412, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (313, 365, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (585, 306, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (749, 410, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (98, 70, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (560, 276, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (149, 7, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (363, 420, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (464, 55, 'призер школьного этапа', 'бви');
