insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (94, 'спонсор', 'winthrop@jo', '10726300656');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (44, 'спонсор', 'krystabelle@banbrigge', '19828264849');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (398, 'столовая', 'aleena@larena', '16479130069');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (299, 'ректор', 'locke@elwine', '14278319556');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (214, 'ректор', 'nuru@cady', '10265345511');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (202, 'столовая', 'mukantagara@torr', '12998935728');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (472, 'столовая', 'ariss@ager', '19488256454');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (286, 'ректор', 'bayen@hymen', '10539541657');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (65, 'столовая', 'elnora@roddy', '15845783230');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (63, 'ректор', 'qochata@napolean', '14332387878');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (383, 'столовая', 'romano@jem', '18639211688');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (466, 'столовая', 'jaydra@mahadevi', '14219425981');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (456, 'приёмная комиссия', 'lynet@shawn', '12322741759');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (478, 'ректор', 'kelvin@farhan', '15888344565');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (73, 'столовая', 'bryne@haye', '11644122215');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (496, 'ректор', 'ines@ai-wahed', '11737594750');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (190, 'столовая', 'heorot@fynn', '19731549681');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (204, 'спонсор', 'paciencia@sharif', '15723266752');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (403, 'миграционная служба', 'lana@fitzhugh', '17500694791');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (192, 'ректор', 'magd@nancy', '13534571023');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (56, 'ректор', 'yvette@michaeline', '18477652649');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (268, 'столовая', 'darlene@demarcus', '18392008100');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (129, 'миграционная служба', 'helaine@deiphobus', '17779492076');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (165, 'приёмная комиссия', 'goraidh@calysta', '14036922159');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (497, 'миграционная служба', 'ananda@ngoc', '10815868128');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (148, 'ректор', 'xochitl@ludwik', '16538080905');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (215, 'приёмная комиссия', 'eburscon@basil', '19056047588');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (266, 'приёмная комиссия', 'annemette@vladimir', '12616559009');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (12, 'столовая', 'kim@sigwalt', '11760155219');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (434, 'спонсор', 'ferran@jennyfer', '14802083966');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (398, 'приёмная комиссия', 'gyes@ray', '13247155996');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (186, 'столовая', 'tayba@shawnessey', '19180973769');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (84, 'столовая', 'ruanaidh@lamia', '11442022647');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (215, 'миграционная служба', 'tayzia@domingo', '14357924874');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (142, 'спонсор', 'narcisa@gjerta', '11018882296');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (180, 'столовая', 'cohen@desiree', '15892523656');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (279, 'приёмная комиссия', 'maurine@blane', '11375160688');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (390, 'столовая', 'rayce@lachlan', '17529047182');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (17, 'столовая', 'govannon@coburn', '18404533982');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (366, 'столовая', 'colyn@waldron', '13438694560');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (272, 'спонсор', 'erian@beryl', '19085826477');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (494, 'спонсор', 'ham@fedor', '17141947063');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (501, 'приёмная комиссия', 'tristan@sharifa', '18304043323');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (177, 'столовая', 'hahnee@sancho', '16261612822');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (266, 'миграционная служба', 'mona@kathlene', '19132972120');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (266, 'столовая', 'fayette@tayzia', '14541848353');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (339, 'приёмная комиссия', 'wiellatun@wilda', '16631911437');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (438, 'приёмная комиссия', 'yerachmiel@kathy', '16203892128');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (103, 'приёмная комиссия', 'terika@antor', '13669054557');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (383, 'спонсор', 'shay-lee@prewitt', '13525478079');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (488, 'спонсор', 'dee@alijha', '17539068581');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (319, 'миграционная служба', 'naiara@conal', '18139241120');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (388, 'приёмная комиссия', 'sarsoureh@zwena', '12381919681');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (314, 'ректор', 'rey@atepa', '14838464775');
insert into контакты_вуза (ид_вуза, название, e_mail, телефон) values (450, 'спонсор', 'tansy@leanna', '13354704562');
