insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Абрикосов ', 'АА', 'Воронеж, ул. Стоический, 51');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Абрикосов ', 'АА', 'Маргейт, ул. Бездонный, 4001');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Ампер ', 'АА', 'Карабаново, ул. Ослиный, 4331');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Ампер ', 'АА', 'Оратов, ул. Безысходный, 1991');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Ананасов ', 'АА', 'Рушвилл, ул. Бесчеловечный, 2471');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Антресолей ', 'АА', 'Винтертур, ул. Чертовский, 931');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Антресолей ', 'АА', 'Еминенк, ул. Антагонистический, 41');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Анчоусов ', 'АА', 'Васильсурск, ул. Адский, 2361');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Барж ', 'АБ', 'Ралстон, ул. Безбрежный, 1261');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Басен ', 'АБ', 'Коммунарск, ул. Невозможный, 01');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Басен ', 'АБ', 'Лахес, ул. Пронизывающий, 4111');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Башен ', 'АБ', 'Кицмань, ул. Прожженный, 451');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Бездорожьий', 'АБ', 'Вест-Лейк-Хиллс, ул. Мертвый, 3741');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Бит', 'АБ', 'Монтрос, ул. Бессовестный, 4621');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Бланков', 'АБ', 'Тавда, ул. Первейший, 2321');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Браслов', 'АБ', 'Бессоновка, ул. Немалый, 3771');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Брелок', 'АБ', 'Лимож, ул. Невиданный, 1381');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Бронхи', 'АБ', 'Батурст, ул. Первейший, 2321');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Бронхи', 'АБ', 'Янгикишлак, ул. Дьявольский, 1361');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Брызг', 'АБ', 'Озерск, ул. Раздирающий, 851');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Брюк', 'АБ', 'Ерод, ул. Горючий, 1171');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Бурь', 'АБ', 'Краков (обс. Форт Скала), ул. Бесконечный, 1201');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Бурь', 'АБ', 'Салта, ул. Нешуточный, 2011');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Бутс', 'АБ', 'Формоза, ул. Триумфальный, 4771');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Вандалов ', 'АВ', 'Ферридэй, ул. Беспросветный, 2261');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Ватт', 'АВ', 'Шаартуз, ул. Истинно, 4351');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Выжимок ', 'АВ', 'Верея, ул. Бескомпромиссный, 281');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Выселков', 'АВ', 'Барсуки, ул. Несметный, 1331');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Гантелей ', 'АГ', 'Мидвейл, ул. Редкостный, 611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Гардемарин ', 'АГ', 'Себеж, ул. Штормовой, 3351');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Гнездовий', 'АГ', 'Большая Мартыновка, ул. Закоренелый, 4141');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Гнездовий', 'АГ', 'Ольшанка, ул. Ошеломляющий, 3901');
insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Гренок ', 'АГ', 'Наария, ул. Крепкий, 1741');
